id,Username,Solved Katas,5a03b3f6a1c9040084001765,589519d1f0902e01af000054,589478160c0f8a40870000bc,542f0c36d002f8cd8a0005e5,5899aa695401a83a5c0000c4,56200d610758762fb0000002,5b853229cfde412a470000d0,50654ddff44f800200000004,55f73be6e12baaa5900000d4,56dec885c54a926dcd001095,53ee5429ba190077850011d4,5933a1f8552bc2750a0000ed,58261acb22be6e2ed800003a,5a023c426975981341000014,5f0ed36164f2bc00283aed07,55f9bca8ecaa9eac7100004a,5a805d8cafa10f8b930005ba,563a631f7cbbc236cf0000c2,5887a6fe0cfe64850800161c,523b623152af8a30c6000027,55fab1ffda3e2e44f00000c6,5aba780a6a176b029800041c,5a3fe3dde1ce0e8ed6000097,5aff237c578a14752d0035ae,57a77726bb9944d000000b06,55685cd7ad70877c23000102,62c93765cef6f10030dfa92b,58841cb52a077503c4000015,5893e0c41a88085c330000a0,540c013634e6bac0350000a5,564f458b4d75e24fc9000041,6391fe3f322221003db3bad6,55d24f55d7dd296eb9000030,582cb0224e56e068d800003c,55fd2d567d94ac3bc9000064,5ae62fcf252e66d44d00008e,59342039eb450e39970000a6,55d1d6d5955ec6365400006d,57e92e91b63b6cbac20001e5
1,Sayfullo_006,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Zukhriddin0212,30,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3,behruz101,30,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
4,Durdona01,26,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0
5,Sherxon_Karimov,26,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
6,SaidjonRavshanov,25,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0
7,komilegamqulov,25,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0
8,Asadbek139,22,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0
9,Dbek83developer,18,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,asilbekjon0114,11,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
